"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R6","R0603","20.5mm","22.25mm","20.5mm","22.25mm","21.25mm","22.25mm","T","180.00","10KO"
"R7","R0603","23mm","23mm","23mm","23mm","23mm","23.75mm","T","270.00","4.7KO"
"R8","R0603","35mm","9.75mm","35mm","9.75mm","35mm","10.5mm","T","270.00","2.2KO"
"R9","R0603","35mm","12.75mm","35mm","12.75mm","35mm","12mm","T","90.00","1.5KO"
"R10","R0603","36.75mm","9.75mm","36.75mm","9.75mm","36.75mm","9mm","T","90.00","2.2KO"
"R11","RT0603","28.25mm","4.75mm","28.25mm","4.75mm","27.5mm","4.75mm","T","0.00","10KO"
"R12","R0603","36.75mm","12.75mm","36.75mm","12.75mm","36.75mm","13.5mm","T","270.00","100O"
"R13","R0603","27.5mm","11.25mm","27.5mm","11.25mm","27.5mm","12mm","T","270.00","8.45KO"
"R14","R0603","32mm","70mm","32mm","70mm","32mm","70.75mm","T","270.00","10KO"
"R15","R0603","26.5mm","70mm","26.5mm","70mm","26.5mm","70.75mm","T","270.00","4.7KO"
"R16","R0603","96mm","71.25mm","96mm","71.25mm","96mm","72mm","T","270.00","1KO"
"R17","R0603","90.5mm","71.25mm","90.5mm","71.25mm","90.5mm","70.5mm","T","90.00","1KO"
"R18","R0603","100.5mm","6mm","100.5mm","6mm","99.75mm","6mm","T","360.00","10KO"
"R19","R0603","100.5mm","21.25mm","100.5mm","21.25mm","99.75mm","21.25mm","T","360.00","10KO"
"R20","R0603","100.5mm","36.25mm","100.5mm","36.25mm","99.75mm","36.25mm","T","360.00","10KO"
"R21","R0603","100.5mm","51.25mm","100.5mm","51.25mm","99.75mm","51.25mm","T","360.00","10KO"
"R22","R0603","100.5mm","4mm","100.5mm","4mm","101.25mm","4mm","T","180.00","10KO"
"R23","R0603","100.5mm","19.25mm","100.5mm","19.25mm","101.25mm","19.25mm","T","180.00","10KO"
"R24","R0603","100.5mm","34.25mm","100.5mm","34.25mm","101.25mm","34.25mm","T","180.00","10KO"
"R25","R0603","100.5mm","49.25mm","100.5mm","49.25mm","101.25mm","49.25mm","T","180.00","10KO"
"R26","R0603","2mm","64.75mm","2mm","64.75mm","2mm","65.5mm","T","270.00","1KO"
"RV1","MOV-07D471K","58mm","101mm","58mm","101mm","55.4877mm","102.1185mm","T","360.00","MOV-07D471K"
"SW1","TS-1102SD-C-P-B","104.5mm","11.5mm","104.5mm","11.5mm","109.2mm","9.25mm","T","180.00","TS-1102SD-C-P-B"
"SW2","TS-1102SD-C-P-B","104.5mm","26.5mm","104.5mm","26.5mm","109.2mm","24.25mm","T","180.00","TS-1102SD-C-P-B"
"SW3","TS-1102SD-C-P-B","104.5mm","41.5mm","104.5mm","41.5mm","109.2mm","39.25mm","T","180.00","TS-1102SD-C-P-B"
"SW4","TS-1102SD-C-P-B","104.5mm","56.5mm","104.5mm","56.5mm","109.2mm","54.25mm","T","180.00","TS-1102SD-C-P-B"
"U2","SOT-23-5","31.25mm","11.5mm","31.25mm","11.5mm","29.95mm","12.45mm","T","0.00","TLV9001"
"U3","SOT-23","16.5mm","64.75mm","16.5mm","64.75mm","15.55mm","63.55mm","T","0.00","AP2210N-5.0"
"U4","SOT-23","16.5mm","60.5mm","16.5mm","60.5mm","15.55mm","59.3mm","T","360.00","AP2210N-3.3"
"U5","LQFP-64_10X10","58.5mm","28.5mm","58.5mm","28.5mm","54.75mm","22.75mm","T","90.00","STM32F446RET6"
"U1","VSSOP-8","20.5mm","17.75mm","20.5mm","17.75mm","19.525mm","15.55mm","T","90.00","LMP7716"

